month,division,line,period,num_passengers,additional_platform_time,additional_train_time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer_journey_time
2024-04-01T00:00:00.000,B DIVISION,C,offpeak,2849547.2,1.4961426,0.5566109,4263329.0,1586089.0,479780.6,0.16837081,0.83162916
2024-04-01T00:00:00.000,B DIVISION,C,peak,2298564.0,1.5567787,0.3824876,3578355.2,879172.2,364966.1,0.15878005,0.84121996
2024-04-01T00:00:00.000,B DIVISION,D,offpeak,3325709.8,1.5372307,0.8381158,5112383.0,2787329.8,755858.8,0.22727744,0.77272254
2024-04-01T00:00:00.000,B DIVISION,D,peak,3025357.8,1.2678758,0.76477516,3835778.0,2313718.5,586145.0,0.19374402,0.806256
2024-04-01T00:00:00.000,B DIVISION,E,offpeak,3768039.2,1.0472536,0.873793,3946092.8,3292486.5,671136.4,0.1781129,0.8218871
2024-04-01T00:00:00.000,B DIVISION,E,peak,4388536.0,0.92005706,-0.15778323,4037703.2,-692437.3,484676.2,0.11044144,0.88955855
2024-04-01T00:00:00.000,B DIVISION,F,offpeak,3806889.5,1.3737487,0.53254646,5229709.5,2027345.5,764695.1,0.20087136,0.79912865
2024-04-01T00:00:00.000,B DIVISION,F,peak,4164172.0,1.11391,-0.20362222,4638512.5,-847917.94,538246.2,0.12925647,0.8707435
2024-04-01T00:00:00.000,B DIVISION,G,offpeak,1393450.9,1.2298514,0.94455224,1713737.5,1316187.1,247076.9,0.17731296,0.82268703
2024-04-01T00:00:00.000,B DIVISION,G,peak,1558807.4,1.2205312,0.6095084,1902573.1,950106.25,312185.7,0.20027214,0.79972786
2024-04-01T00:00:00.000,B DIVISION,JZ,offpeak,1482965.8,1.3891093,0.773279,2060001.4,1146746.2,299121.7,0.20170507,0.7982949
2024-04-01T00:00:00.000,B DIVISION,JZ,peak,1560058.2,1.2201574,0.61990345,1903516.5,967085.44,283694.7,0.1818488,0.81815124
2024-04-01T00:00:00.000,B DIVISION,L,offpeak,2855001.8,1.3213791,0.7719058,3772539.2,2203792.2,331412.1,0.11608123,0.88391876
